,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region
2117,020120,KOSPI,키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업",1996-07-03,12월,김영훈,http://www.kidaristudio.com,서울특별시
2119,039490,KOSPI,키움증권,금융 지원 서비스업,"유가증권의 매매, 위탁, 인수, 주선",2009-08-03,12월,이 현,http://www.kiwoom.com,서울특별시
2120,71201B97,KOSPI,키움히어로즈미국물류부동산1호,,,,,,,
2121,71201B98,KOSPI,키움히어로즈유럽오피스부동산1호 A,,,,,,,
2122,71202B98,KOSPI,키움히어로즈유럽오피스부동산1호 C-I,,,,,,,
2123,71203B98,KOSPI,키움히어로즈유럽오피스부동산2호 A,,,,,,,
2124,71204B98,KOSPI,키움히어로즈유럽오피스부동산2호 C-I,,,,,,,
2125,71205B98,KOSPI,키움히어로즈유럽오피스부동산3호 A,,,,,,,
2126,71206B98,KOSPI,키움히어로즈유럽오피스부동산3호 C-I,,,,,,,
2127,71207B98,KOSPI,키움히어로즈유럽오피스부동산4호 A,,,,,,,
